id,gid,x,y,v_x,v_y,radius,time
3,3,-5.132348,5.132487,0.808531,-0.808294,0.500000,0.950000
4,4,-7.339477,-0.000122,1.014787,-0.001520,0.500000,0.950000
5,5,-5.121902,-5.122365,0.823529,0.824174,0.500000,0.950000
6,6,0.001359,-7.224669,0.005223,1.194998,0.500000,0.950000
7,7,5.187711,-5.187840,-0.722622,0.721360,0.500000,0.950000
0,0,7.206063,0.000142,-1.153692,-0.000129,0.500000,1.000000
1,1,5.161606,5.162512,-0.717191,-0.714021,0.500000,1.000000
2,2,0.000863,7.175314,0.002556,-1.197060,0.500000,1.000000
3,3,-5.091294,5.091445,0.821084,-0.820836,0.500000,1.000000
4,4,-7.287986,-0.000217,1.029836,-0.001897,0.500000,1.000000
5,5,-5.080107,-5.080515,0.835895,0.837010,0.500000,1.000000
6,6,0.001659,-7.163993,0.005994,1.213527,0.500000,1.000000
7,7,5.151026,-5.151230,-0.733692,0.732188,0.500000,1.000000
0,0,7.147572,0.000130,-1.169814,-0.000240,0.500000,1.050000
1,1,5.125279,5.126362,-0.726540,-0.722999,0.500000,1.050000
2,2,0.001006,7.114641,0.002850,-1.213451,0.500000,1.050000
3,3,-5.049675,5.049839,0.832373,-0.832112,0.500000,1.050000
4,4,-7.235826,-0.000332,1.043197,-0.002297,0.500000,1.050000
5,5,-5.037759,-5.038087,0.846964,0.848553,0.500000,1.050000
6,6,0.002000,-7.102483,0.006827,1.230196,0.500000,1.050000
7,7,5.113845,-5.114138,-0.743617,0.741855,0.500000,1.050000
0,0,7.088353,0.000110,-1.184388,-0.000384,0.500000,1.100000
1,1,5.088539,5.089819,-0.734787,-0.730873,0.500000,1.100000
2,2,0.001164,7.053232,0.003159,-1.228175,0.500000,1.100000
3,3,-5.007549,5.007727,0.842527,-0.842251,0.500000,1.100000
4,4,-7.183075,-0.000468,1.055015,-0.002728,0.500000,1.100000
5,5,-4.994916,-4.995140,0.856864,0.858932,0.500000,1.100000
6,6,0.002387,-7.040223,0.007734,1.245204,0.500000,1.100000
7,7,5.076220,-5.076614,-0.752509,0.750474,0.500000,1.100000
0,0,7.028473,0.000081,-1.197599,-0.000584,0.500000,1.150000
1,1,5.051440,5.052934,-0.741985,-0.737700,0.500000,1.150000
2,2,0.001338,6.991162,0.003483,-1.241397,0.500000,1.150000
3,3,-4.964966,4.965158,0.851660,-0.851367,0.500000,1.150000
4,4,-7.129805,-0.000629,1.065395,-0.003214,0.500000,1.150000
5,5,-4.951630,-4.951727,0.865711,0.868264,0.500000,1.150000
6,6,0.002824,-6.977285,0.008750,1.258745,0.500000,1.150000
7,7,5.038196,-5.038706,-0.760471,0.758149,0.500000,1.150000
0,0,6.967991,0.000037,-1.209649,-0.000891,0.500000,1.200000
1,1,5.014035,5.015760,-0.748105,-0.743464,0.500000,1.200000
2,2,0.001529,6.928499,0.003822,-1.253267,0.500000,1.200000
